address,main_price,price_per_m2,area
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Уральская, Теплые Кварталы ЖК",7731584,89600,86.29
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Геологическая, улица Мира, 47к4",8135000,96638,84.18
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Основа ЖК",11148400,94000,118.6
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Геологическая, улица Мира, 47к4",11660000,94528,123.35
"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, м. Геологическая, улица Рассветная, 8к4",4729200,84000,56.3
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Геологическая, улица Мира, 47к4",5069000,118462,42.79
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, улица Александровская, 3",3699000,72959,50.7
"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, улица Новгородцевой, 17",3600000,73469,49.0
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, Советская улица, 53",3399000,79976,42.5
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Цветной Бульвар ЖК",3772000,92000,41.0
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Центр, м. Динамо, улица Шевченко, 20",11499000,112735,102.0
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, улица Мира, 12А",5350000,68943,77.6
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, улица Менжинского, 1А",3200000,64000,50.0
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, Советская улица, 56",5200000,65823,79.0
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, улица Малышева, 103к1",3950000,92941,42.5
"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, улица Новгородцевой, 5к3",3800000,79002,48.1
"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, бульвар Сиреневый, 3",4490000,69077,65.0
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Центр, улица Бажова, 74",2880000,102128,28.2
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Уральская улица, 57к1",5200000,83067,62.6
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, улица Малышева, 160",3490000,99714,35.0
"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, улица Рассветная, 6к2",5300000,87603,60.5
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, улица Солнечная, 35",2690000,63593,42.3
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, м. Площадь 1905 года, проспект Ленина, 70",6280000,80513,78.0
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, улица Комвузовская, 11",3190000,72500,44.0
"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, улица 40-летия Комсомола, 32Г",2649000,69711,38.0
"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, улица Владимира Высоцкого, 10",5199900,67182,77.4
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Советская улица, 18",2800000,90323,31.0
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, улица Садовая, 4",7450000,96129,77.5
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Втузгородок, улица Гагарина, 49",4000000,90909,44.0
"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, м. Геологическая, улица Рассветная, 8к4",2370000,100000,23.7
"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, м. Геологическая, улица Рассветная, 8к4",2509800,94000,26.7
"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, м. Геологическая, улица Рассветная, 8к4",2598600,91500,28.4
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Цветной Бульвар ЖК",2598400,112000,23.2
"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, улица Новгородцевой, 31",3700000,78224,47.3
"Свердловская область, Екатеринбург, р-н Кировский, мкр. ЖБИ, м. Геологическая, улица Рассветная, 8к4",2554400,103000,24.8
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Машиностроителей, Уральский ЖК",2649948,96362,27.5
"Свердловская область, Екатеринбург, р-н Кировский, мкр. Пионерский, м. Уральская, Цветной Бульвар ЖК",2662400,104000,25.6
